date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2021-07-29 00:00:00,added JT Thor to DET,0.0,-48565,0.0,-3.6
2021-07-29 00:00:00,added Isaiah Livers to DET,0.0,-48565,0.0,-3.6
2021-07-29 00:00:00,added Luka Garza to DET,0.0,-48565,0.0,-3.6
2021-08-06 00:00:00,added Kelly Olynyk to DET,1222.4,-47342,0.7,-2.8999999999999995
2021-08-06 00:00:00,added Trey Lyles to DET,0.0,-47342,0.5,-2.3999999999999995
2021-08-06 00:00:00,added Saben Lee to DET,-241.6,-47584,0.2,-2.1999999999999997
2021-08-06 00:00:00,added Isaiah Livers to DET,-6500.6,-54084,-0.6,-2.7999999999999994
2021-08-06 00:00:00,lost Mason Plumlee to CHO,-3832.8,-57917,-2.7,-5.5
2021-08-06 00:00:00,lost JT Thor to CHO,8854.8,-49063,1.2999999999999998,-4.2
2021-08-06 00:00:00,added Balša Koprivica to DET,0.0,-49063,0.0,-4.2
2021-08-08 00:00:00,added Cade Cunningham to DET,5576.6,-43486,4.9,0.7000000000000002
2021-08-08 00:00:00,added Rodney McGruder to DET,-1841.6,-45328,0.2,0.9000000000000001
2021-08-10 00:00:00,added Frank Jackson to DET,-4074.0,-49402,-0.4,0.5000000000000001
2021-08-10 00:00:00,added Cory Joseph to DET,-5200.5,-54602,0.2,0.7000000000000002
2021-08-16 00:00:00,added Chris Smith to DET,0.0,-54602,0.0,0.7000000000000002
2021-08-16 00:00:00,added Luka Garza to DET,-972.5,-55575,-0.1,0.6000000000000002
2021-08-16 00:00:00,added Jamorko Pickett to DET,0.0,-55575,0.0,0.6000000000000002
2021-08-19 00:00:00,added Hamidou Diallo to DET,-2028.9,-57603,0.6,1.2000000000000002
2021-09-04 00:00:00,lost Sekou Doumbouya to BRK,-0.0,-57603,-0.0,1.2000000000000002
2021-09-04 00:00:00,lost Jahlil Okafor to BRK,-0.0,-57603,-0.0,1.2000000000000002
2021-09-04 00:00:00,added DeAndre Jordan to DET,0.0,-57603,0.0,1.2000000000000002
2021-09-04 00:00:00,added Ismael Kamagate to DET,0.0,-57603,0.0,1.2000000000000002
2021-09-04 00:00:00,added Kyle Filipowski to DET,0.0,-57603,0.0,1.2000000000000002
2021-09-16 00:00:00,added Anthony Tarke to DET,0.0,-57603,0.0,1.2000000000000002
2021-09-24 00:00:00,added Jamorko Pickett to DET,-880.0,-58483,-0.1,1.1
2021-09-27 00:00:00,added Deividas Sirvydis to DET,0.0,-58483,0.0,1.1
2021-09-27 00:00:00,added Derrick Walton Jr. to DET,0.0,-58483,0.0,1.1
2021-09-27 00:00:00,added Cassius Stanley to DET,0.0,-58483,0.0,1.1
2021-09-29 00:00:00,added Jared Cunningham to DET,0.0,-58483,0.0,1.1
2021-12-23 00:00:00,added Cheick Diallo to DET,-232.5,-58716,0.0,1.1
2021-12-25 00:00:00,added Derrick Walton to DET,-464.4,-59180,-0.1,1.0
2021-12-25 00:00:00,added Cassius Stanley to DET,0.0,-59180,0.0,1.0
2021-12-26 00:00:00,added Deividas Sirvydis to DET,-234.9,-59415,0.0,1.0
2021-12-28 00:00:00,added Justin Robinson to DET,-627.9,-60043,-0.1,0.9
2021-12-28 00:00:00,added Trayvon Palmer to DET,-255.0,-60298,-0.1,0.8
2021-12-29 00:00:00,added Micah Potter to DET,-220.1,-60518,0.0,0.8
2021-12-31 00:00:00,added Jaysean Paige to DET,-220.5,-60739,0.0,0.8
2022-01-10 00:00:00,lost Rodney McGruder to DEN,-0.0,-60739,-0.0,0.8
2022-01-10 00:00:00,added Bol Bol to DET,0.0,-60739,0.0,0.8
2022-01-21 00:00:00,added Cassius Stanley to DET,-899.0,-61638,-0.2,0.6000000000000001
2022-02-10 00:00:00,lost Josh Jackson to SAC,1131.6,-60506,0.2,0.8
2022-02-10 00:00:00,lost Trey Lyles to SAC,4103.8,-56402,-1.1,-0.3
2022-02-10 00:00:00,lost Isaiah Wong to MIL,-0.0,-56402,-0.0,-0.3
2022-02-10 00:00:00,added Marvin Bagley III to DET,-294.0,-56696,0.1999999999999999,-0.1000000000000001
2022-03-24 00:00:00,added Braxton Key to DET,0.0,-56696,0.0,-0.1000000000000001
2022-04-03 00:00:00,added Carsen Edwards to DET,-734.7,-57431,-0.1,-0.2000000000000001
2022-04-03 00:00:00,added Braxton Key to DET,-585.1,-58016,-0.1,-0.3000000000000001
2022-06-23 00:00:00,added Jaden Ivey to DET,0.0,-58016,0.0,-0.3000000000000001
2022-06-23 00:00:00,added Ismael Kamagate to DET,0.0,-58016,0.0,-0.3000000000000001
2022-07-02 00:00:00,added Jaden Ivey to DET,-14565.7,-72582,-0.8999999999999998,-1.2
2022-07-02 00:00:00,added Buddy Boeheim to DET,-855.0,-73437,-0.2,-1.4
2022-07-06 00:00:00,lost Jerami Grant to POR,3223.0,-70214,-2.0,-3.4
2022-07-06 00:00:00,lost Ismael Kamagate to POR,-0.0,-70214,-0.0,-3.4
2022-07-06 00:00:00,added Gabriele Procida to DET,0.0,-70214,0.0,-3.4
2022-07-06 00:00:00,added Marvin Bagley III to DET,-1464.6,-71678,0.4,-3.0
2022-07-06 00:00:00,added Jalen Duren to DET,0.0,-71678,0.0,-3.0
2022-07-06 00:00:00,added Kemba Walker to DET,0.0,-71678,0.0,-3.0
2022-07-07 00:00:00,added Jalen Duren to DET,4562.3,-67116,4.0,1.0
2022-07-11 00:00:00,lost Nikola Radičević to NYK,-0.0,-67116,-0.0,1.0
2022-07-11 00:00:00,added Alec Burks to DET,985.9999999999998,-66130,1.3,2.3
2022-07-11 00:00:00,added Nerlens Noel to DET,-304.0,-66434,0.0,2.3
2022-07-11 00:00:00,added James Nnaji to DET,0.0,-66434,0.0,2.3
2022-08-01 00:00:00,added Rodney McGruder to DET,-786.0,-67220,0.1,2.4
2022-08-01 00:00:00,added Kevin Knox to DET,-4236.4,-71457,-0.5,1.9
2022-09-12 00:00:00,added Micah Potter to DET,0.0,-71457,0.0,1.9
2022-09-14 00:00:00,added Keifer Sykes to DET,0.0,-71457,0.0,1.9
2022-09-19 00:00:00,added Kyler Edwards to DET,0.0,-71457,0.0,1.9
2022-09-22 00:00:00,lost Saben Lee to UTA,-0.0,-71457,-0.0,1.9
2022-09-22 00:00:00,lost Kelly Olynyk to UTA,-3426.2000000000003,-74883,-2.4,-0.5
2022-09-22 00:00:00,added Bojan Bogdanovic to DET,-419.7000000000001,-75302,1.4,0.8999999999999999
2022-09-25 00:00:00,added Stanley Umude to DET,0.0,-75302,0.0,0.8999999999999999
2022-09-25 00:00:00,added Jules Bernard to DET,0.0,-75302,0.0,0.8999999999999999
2022-10-14 00:00:00,added Devontae Cacok to DET,0.0,-75302,0.0,0.8999999999999999
2022-12-26 00:00:00,added Jared Rhoden to DET,-1207.8,-76510,-0.2,0.7
2023-02-09 00:00:00,lost Kevin Knox to POR,1651.4,-74859,0.2,0.8999999999999999
2023-02-09 00:00:00,lost Saddiq Bey to ATL,3397.1,-71462,-0.5,0.3999999999999999
2023-02-09 00:00:00,added James Wiseman to DET,-6420.0,-77882,-0.8,-0.4000000000000001
2023-02-10 00:00:00,added Stanley Umude to DET,97.2,-77785,0.0,-0.4000000000000001
2023-02-23 00:00:00,added R.J. Hampton to DET,-1711.6,-79496,-0.2,-0.6000000000000001
2023-03-03 00:00:00,added Eugene Omoruyi to DET,0.0,-79496,0.0,-0.6000000000000001
2023-03-23 00:00:00,added Eugene Omoruyi to DET,-1529.3,-81025,-0.2,-0.8
2023-06-22 00:00:00,added Ausar Thompson to DET,0.0,-81025,0.0,-0.8
2023-06-22 00:00:00,added James Nnaji to DET,0.0,-81025,0.0,-0.8
2023-06-28 00:00:00,lost James Nnaji to BOS,-0.0,-81025,-0.0,-0.8
2023-06-28 00:00:00,added Marcus Sasser to DET,0.0,-81025,0.0,-0.8
2023-07-02 00:00:00,added Ausar Thompson to DET,-922.6000000000004,-81948,1.2,0.3999999999999999
2023-07-02 00:00:00,added Malcolm Cazalon to DET,-27.3,-81975,0.0,0.3999999999999999
2023-07-02 00:00:00,added Jared Rhoden to DET,-612.5,-82588,0.0,0.3999999999999999
2023-07-05 00:00:00,added Marcus Sasser to DET,-3589.4,-86177,0.2,0.5999999999999999
2023-07-06 00:00:00,added Monte Morris to DET,-469.2000000000001,-86646,-0.1,0.4999999999999999
2023-07-06 00:00:00,added Joe Harris to DET,-1003.0,-87649,-0.2,0.2999999999999999
2023-10-23 00:00:00,added Stanley Umude to DET,-491.2000000000001,-88141,0.0,0.2999999999999999
2023-11-08 00:00:00,added Kevin Knox to DET,-2576.0,-90717,-0.4,-0.1000000000000001
2024-01-14 00:00:00,lost Marvin Bagley to WAS,-6.5,-90723,-0.3,-0.4000000000000001
2024-01-14 00:00:00,lost Isaiah Livers to WAS,-0.0,-90723,-0.0,-0.4000000000000001
2024-01-14 00:00:00,added Danilo Gallinari to DET,621.0,-90102,0.2,-0.2000000000000001
2024-01-14 00:00:00,added Mike Muscala to DET,-376.2000000000001,-90478,0.0,-0.2000000000000001
2024-02-08 00:00:00,lost Kevin Knox to UTA,-0.0,-90478,-0.0,-0.2000000000000001
2024-02-08 00:00:00,lost Gabriele Procida to UTA,-0.0,-90478,-0.0,-0.2000000000000001
2024-02-08 00:00:00,lost Kyle Filipowski to UTA,1315.8,-89163,-0.4,-0.6000000000000001
2024-02-08 00:00:00,added Simone Fontecchio to DET,-3209.9,-92372,0.0,-0.6000000000000001
2024-02-08 00:00:00,added Danuel House to DET,0.0,-92372,0.0,-0.6000000000000001
2024-02-08 00:00:00,added Cam Spencer to DET,0.0,-92372,0.0,-0.6000000000000001
2024-02-08 00:00:00,lost Bojan Bogdanovic to NYK,2729.3,-89643,0.4,-0.2
2024-02-08 00:00:00,lost Alec Burks to NYK,2425.8,-87217,0.5,0.2999999999999999
2024-02-08 00:00:00,added Ryan Arcidiacono to DET,0.0,-87217,0.0,0.2999999999999999
2024-02-08 00:00:00,added Malachi Flynn to DET,-444.6,-87662,0.1,0.3999999999999999
2024-02-08 00:00:00,added Evan Fournier to DET,-2055.8,-89718,-0.3,0.0999999999999999
2024-02-08 00:00:00,added Quentin Grimes to DET,-931.5,-90649,-0.2,-0.1
2024-02-08 00:00:00,lost Monte Morris to MIN,-816.0,-91465,-0.4,-0.5000000000000001
2024-02-08 00:00:00,added Troy Brown Jr. to DET,-2293.5,-93759,-0.4,-0.9000000000000001
2024-02-08 00:00:00,added Shake Milton to DET,18.9,-93740,0.0,-0.9000000000000001
2024-02-12 00:00:00,added Tosan Evbuomwan to DET,0.0,-93740,0.0,-0.9000000000000001
2024-02-23 00:00:00,added Buddy Boeheim to DET,-294.0,-94034,0.0,-0.9000000000000001
2024-02-23 00:00:00,added Tosan Evbuomwan to DET,-644.6,-94678,0.0,-0.9000000000000001
2024-03-06 00:00:00,added Taj Gibson to DET,0.0,-94678,0.0,-0.9000000000000001
2024-03-16 00:00:00,added Taj Gibson to DET,66.3,-94612,0.0,-0.9000000000000001
2024-03-20 00:00:00,added Chimezie Metu to DET,0.0,-94612,0.0,-0.9000000000000001
2024-03-30 00:00:00,added Chimezie Metu to DET,-534.3000000000001,-95146,0.1,-0.8000000000000002
2024-04-03 00:00:00,added Jaylen Nowell to DET,-5.800000000000001,-95152,0.0,-0.8000000000000002
